Date,Price,Open,High,Low,Vol.,Change %
4/8/2020,48089.00,45803.00,48089.00,45313.00,1610000.00,0.02
4/9/2020,48497.00,48170.00,48742.00,47436.00,2460000.00,0.01
4/10/2020,49150.00,48170.00,51028.00,47599.00,2300000.00,0.01
4/13/2020,47436.00,49150.00,50130.00,47436.00,2530000.00,-0.03
4/14/2020,49803.00,47354.00,49803.00,46701.00,1740000.00,0.05
4/15/2020,49722.00,49803.00,50865.00,49558.00,1330000.00,0.00
4/16/2020,49640.00,48660.00,49967.00,48660.00,1180000.00,0.00
4/17/2020,49477.00,49803.00,50130.00,49395.00,1700000.00,0.00
4/20/2020,48497.00,49477.00,49803.00,48497.00,2210000.00,-0.02
4/21/2020,46211.00,47436.00,48007.00,45803.00,2230000.00,-0.05
4/22/2020,47517.00,45313.00,47844.00,45313.00,1280000.00,0.03
4/23/2020,47517.00,48579.00,48824.00,47517.00,1010000.00,0.00
4/24/2020,48579.00,47191.00,48579.00,46701.00,1460000.00,0.02
4/27/2020,47762.00,48987.00,49395.00,47762.00,1350000.00,-0.02
4/28/2020,48742.00,47762.00,49232.00,47354.00,1310000.00,0.02
4/29/2020,48007.00,48742.00,48905.00,48007.00,996600.00,-0.02
5/4/2020,46783.00,46701.00,47926.00,46619.00,1380000.00,-0.03
5/5/2020,46048.00,46701.00,46946.00,46048.00,1320000.00,-0.02
5/6/2020,47354.00,46538.00,47354.00,45476.00,1220000.00,0.03
5/7/2020,48007.00,48007.00,48170.00,47354.00,936700.00,0.01
5/8/2020,49803.00,48170.00,50946.00,48089.00,3980000.00,0.04
5/11/2020,51518.00,50212.00,51518.00,49477.00,2210000.00,0.03
5/12/2020,50620.00,51436.00,51600.00,50457.00,1230000.00,-0.02
5/13/2020,50538.00,50048.00,51028.00,49395.00,1920000.00,0.00
5/14/2020,52171.00,50212.00,53232.00,49803.00,3090000.00,0.03
5/15/2020,50701.00,52661.00,52988.00,50701.00,1570000.00,-0.03
5/18/2020,51028.00,50701.00,51273.00,50130.00,1010000.00,0.01
5/19/2020,51436.00,51681.00,52579.00,51028.00,2310000.00,0.01
5/20/2020,52089.00,51028.00,52171.00,51028.00,1200000.00,0.01
5/21/2020,52089.00,52089.00,52253.00,51273.00,1820000.00,0.00
5/22/2020,50620.00,51844.00,52008.00,50620.00,1570000.00,-0.03
