Date,Price,Open,High,Low,Vol.,Change %
5/10/2021,20723.30,19409.50,20842.80,19290.00,35280000.00,0.06
5/11/2021,20424.70,20902.50,21081.70,20424.70,24920000.00,-0.01
5/12/2021,20783.10,20305.30,20812.90,20305.30,15740000.00,0.02
5/13/2021,20932.40,20544.20,21589.30,20544.20,32570000.00,0.01
5/14/2021,21081.70,21111.50,21440.00,20932.40,20270000.00,0.01
5/17/2021,21171.20,21499.70,21678.90,21081.70,26320000.00,0.00
5/18/2021,21051.80,21141.40,21440.00,20842.80,17950000.00,-0.01
5/19/2021,21499.70,21051.80,21619.20,20902.50,25430000.00,0.02
5/20/2021,22992.80,21589.30,22992.80,21499.70,43690000.00,0.07
5/21/2021,23291.40,23291.40,24067.70,22992.80,24750000.00,0.01
5/24/2021,23769.10,23410.80,23799.00,23052.50,25730000.00,0.02
5/25/2021,24426.10,23769.10,24485.80,23590.00,22950000.00,0.03
5/26/2021,24455.90,24366.30,24903.80,24187.20,20590000.00,0.00
5/27/2021,23649.70,24455.90,24545.50,23291.40,25090000.00,-0.03
5/28/2021,24963.60,23828.90,25023.30,23590.00,26450000.00,0.06
5/31/2021,26516.30,25321.90,26576.00,25083.00,18940000.00,0.06
6/1/2021,26098.30,26874.60,27053.80,25859.40,19260000.00,-0.02
6/2/2021,27471.90,25680.20,27471.90,25680.20,25810000.00,0.05
6/3/2021,29203.80,28487.10,29382.90,28069.10,22820000.00,0.06
6/4/2021,29114.20,29144.10,29860.70,28666.30,24810000.00,0.00
6/7/2021,28158.70,28785.70,29442.70,27173.30,37260000.00,-0.03
6/8/2021,26277.40,28069.10,28606.60,26277.40,30470000.00,-0.07
6/9/2021,27889.90,26635.80,28098.90,25680.20,33090000.00,0.06
6/10/2021,28069.10,27889.90,28517.00,27770.50,23140000.00,0.01
6/11/2021,29920.40,27770.50,29980.20,27710.70,34500000.00,0.07
6/14/2021,31652.40,30159.30,32010.70,29860.70,28860000.00,0.06
6/15/2021,31652.40,31652.40,32565.40,31348.00,23050000.00,0.00
6/16/2021,30069.70,30921.90,31469.80,29795.80,34310000.00,-0.05
