Date,Price,Open,High,Low,Vol.,Change %
1/16/2020,8550.90,8521.30,8550.90,8372.80,204710.00,0.01
1/17/2020,8580.60,8580.60,8580.60,8313.40,317320.00,0.00
1/20/2020,8580.60,8491.60,8640.00,8491.60,84250.00,0.00
1/21/2020,8610.30,8610.30,8610.30,8550.90,242780.00,0.00
1/22/2020,8966.60,8669.70,8966.60,8610.30,704650.00,0.04
1/30/2020,8877.50,8907.20,8907.20,8610.30,347470.00,-0.01
1/31/2020,8729.10,8610.30,8847.80,8491.60,434480.00,-0.02
2/3/2020,8313.40,8640.00,8640.00,8135.30,1360000.00,-0.05
2/4/2020,8313.40,8313.40,8313.40,7927.40,986760.00,0.00
2/5/2020,8372.80,8254.00,8372.80,8135.30,167020.00,0.01
2/6/2020,8372.80,7927.40,8432.20,7927.40,336000.00,0.00
2/7/2020,8343.10,8313.40,8432.20,8194.70,253310.00,0.00
2/10/2020,8224.30,8224.30,8313.40,8194.70,50550.00,-0.01
2/11/2020,8402.50,8165.00,8402.50,8135.30,276960.00,0.02
2/12/2020,3445.30,3373.00,3445.30,3361.00,1240000.00,-0.59
2/13/2020,3409.20,3433.30,3433.30,3373.00,256100.00,-0.01
2/14/2020,3421.20,3409.20,3421.20,3348.90,543100.00,0.00
2/17/2020,3445.30,3421.20,3457.40,3373.00,910000.00,0.01
2/18/2020,3421.20,3445.30,3445.30,3324.90,2380000.00,-0.01
2/19/2020,3421.20,3348.90,3421.20,3336.90,1020000.00,0.00
2/20/2020,3397.10,3373.00,3409.20,3336.90,801100.00,-0.01
2/21/2020,3385.10,3348.90,3385.10,3324.90,1290000.00,0.00
2/24/2020,3264.60,3300.80,3324.90,3180.30,2220000.00,-0.04
2/25/2020,3300.80,3192.30,3300.80,3180.30,1860000.00,0.01
2/26/2020,3288.70,3228.50,3288.70,3192.30,1200000.00,0.00
2/27/2020,3300.80,3228.50,3300.80,3204.40,854100.00,0.00
2/28/2020,3252.60,3228.50,3252.60,3156.20,1120000.00,-0.01
3/2/2020,3252.60,3204.40,3252.60,3192.30,838900.00,0.00
3/3/2020,3324.90,3252.60,3324.90,3204.40,2050000.00,0.02
3/4/2020,3312.80,3264.60,3312.80,3228.50,1350000.00,0.00
3/5/2020,3312.80,3312.80,3312.80,3252.60,654400.00,0.00
3/6/2020,3312.80,3264.60,3312.80,3264.60,935300.00,0.00
